frame,vector
53,"[[0.4677131772041321, 0.43567168712615967, -0.09923708438873291], [0.44059890508651733, 0.43564000725746155, -0.04179573804140091], [0.42856329679489136, 0.2643110752105713, -0.052885737270116806], [0.38935813307762146, 0.26719656586647034, -0.05071912333369255], [0.33125096559524536, 0.31498366594314575, -0.04417042434215546]]"
54,"[[0.47907155752182007, 0.4402945935726166, -0.08241666108369827], [0.45473161339759827, 0.4301183819770813, -0.03740471228957176], [0.42973223328590393, 0.3380281925201416, -0.0511091984808445], [0.39811208844184875, 0.3064286708831787, -0.05798745155334473], [0.3486875891685486, 0.3209569454193115, -0.052642155438661575]]"
55,"[[0.47787824273109436, 0.47199034690856934, -0.09273625165224075], [0.4574470520019531, 0.41646313667297363, -0.059592507779598236], [0.42064592242240906, 0.4108649790287018, -0.07921826839447021], [0.3913969397544861, 0.40786710381507874, -0.08350464701652527], [0.35951468348503113, 0.3946862518787384, -0.07577905058860779]]"
56,"[[0.47223809361457825, 0.4659431576728821, -0.09143239259719849], [0.4582790732383728, 0.39267104864120483, -0.05930555984377861], [0.4226699471473694, 0.38580265641212463, -0.07958925515413284], [0.392653226852417, 0.3857647180557251, -0.08292263746261597], [0.35892918705940247, 0.38234999775886536, -0.07151629030704498]]"
57,"[[0.4683797061443329, 0.46716612577438354, -0.0937362089753151], [0.4532809853553772, 0.3981877565383911, -0.05980243533849716], [0.4192016124725342, 0.39149919152259827, -0.07954947650432587], [0.38808727264404297, 0.38935643434524536, -0.08374577015638351], [0.3553696274757385, 0.38285890221595764, -0.07362281531095505]]"
58,"[[0.4645827114582062, 0.46516698598861694, -0.095392607152462], [0.45108142495155334, 0.3959192931652069, -0.06119881942868233], [0.4155261218547821, 0.3931492269039154, -0.07828865200281143], [0.3856656849384308, 0.38960227370262146, -0.08407440036535263], [0.35461825132369995, 0.3837639093399048, -0.07435224205255508]]"
59,"[[0.4640343487262726, 0.4695022404193878, -0.1016043871641159], [0.45020154118537903, 0.40033653378486633, -0.06764505803585052], [0.4157263934612274, 0.40018782019615173, -0.08549712598323822], [0.3834269046783447, 0.39457303285598755, -0.09054099023342133], [0.3530409634113312, 0.3843424320220947, -0.08081433922052383]]"
60,"[[0.46190232038497925, 0.46987608075141907, -0.10307260602712631], [0.4472998082637787, 0.402246356010437, -0.06738423556089401], [0.4121930003166199, 0.4027082622051239, -0.08536829054355621], [0.3796175420284271, 0.39830219745635986, -0.08982990682125092], [0.35013821721076965, 0.39011576771736145, -0.07928222417831421]]"
61,"[[0.4597075581550598, 0.4683434069156647, -0.099822036921978], [0.4447872042655945, 0.4038515090942383, -0.06384654343128204], [0.41009825468063354, 0.40596163272857666, -0.08218610286712646], [0.3778994083404541, 0.4027561545372009, -0.08601173013448715], [0.3484373092651367, 0.3941667079925537, -0.07597057521343231]]"
62,"[[0.4591282904148102, 0.4648117125034332, -0.09477945417165756], [0.4438813030719757, 0.40309077501296997, -0.05804023519158363], [0.40853410959243774, 0.40877383947372437, -0.07641208916902542], [0.376220166683197, 0.40547606348991394, -0.0811908021569252], [0.34679609537124634, 0.3965311348438263, -0.07232288271188736]]"
63,"[[0.4595087170600891, 0.45909383893013, -0.10434505343437195], [0.4456362724304199, 0.3964537978172302, -0.06853292137384415], [0.4114620089530945, 0.40786415338516235, -0.08540058135986328], [0.37883394956588745, 0.4067944884300232, -0.09021554887294769], [0.34871917963027954, 0.4007432460784912, -0.08204331994056702]]"
64,"[[0.4589281380176544, 0.44785910844802856, -0.09543763101100922], [0.4465184211730957, 0.3890761137008667, -0.06257957220077515], [0.41350799798965454, 0.4029434025287628, -0.07952649146318436], [0.38137102127075195, 0.4059147238731384, -0.08704230189323425], [0.34768664836883545, 0.406792014837265, -0.08199984580278397]]"
65,"[[0.43754300475120544, 0.4190976023674011, -0.060319140553474426], [0.46008986234664917, 0.3574027419090271, -0.06944076716899872], [0.46768710017204285, 0.35820096731185913, -0.10927601158618927], [0.45562994480133057, 0.5059000849723816, -0.08910015970468521], [0.424183189868927, 0.5157544612884521, -0.09607171267271042]]"
66,"[[0.42839691042900085, 0.4407745897769928, -0.027574941515922546], [0.4975544810295105, 0.37424513697624207, -0.05632907897233963], [0.5162283182144165, 0.3888360261917114, -0.08105020225048065], [0.4141015112400055, 0.5271399617195129, -0.044953685253858566], [0.4059325158596039, 0.5498294234275818, -0.059575993567705154]]"
67,"[[0.4280881881713867, 0.43991202116012573, -0.030155900865793228], [0.49342334270477295, 0.3698045611381531, -0.0660577118396759], [0.5126648545265198, 0.3887764811515808, -0.09096451103687286], [0.4297797381877899, 0.5336067080497742, -0.05197970196604729], [0.4216521382331848, 0.5562855005264282, -0.06628520786762238]]"
68,"[[0.4259971082210541, 0.4258565902709961, -0.028384214267134666], [0.49763190746307373, 0.36218729615211487, -0.06381604075431824], [0.5241519212722778, 0.3904866576194763, -0.08741254359483719], [0.41504862904548645, 0.5224099159240723, -0.046810001134872437], [0.4124539792537689, 0.5502376556396484, -0.059765711426734924]]"
69,"[[0.4569500684738159, 0.4459136426448822, -0.034413378685712814], [0.5257003903388977, 0.3806983530521393, -0.0734516903758049], [0.5578769445419312, 0.41644299030303955, -0.08585310727357864], [0.4197935461997986, 0.5116258859634399, -0.037078555673360825], [0.41749584674835205, 0.5452843308448792, -0.0469796396791935]]"
70,"[[0.48109719157218933, 0.4478924870491028, -0.04571323096752167], [0.5549389123916626, 0.41069209575653076, -0.08638641983270645], [0.5810824036598206, 0.4466915726661682, -0.09433790296316147], [0.43616819381713867, 0.5154204964637756, -0.041702598333358765], [0.42945772409439087, 0.5467172861099243, -0.04802604019641876]]"
71,"[[0.48537808656692505, 0.46420469880104065, -0.04686684161424637], [0.5597148537635803, 0.41595640778541565, -0.09109461307525635], [0.5873256921768188, 0.4525592625141144, -0.0967116728425026], [0.4426712095737457, 0.5199354887008667, -0.04013214632868767], [0.4364382028579712, 0.5497073531150818, -0.04505051672458649]]"
72,"[[0.48191219568252563, 0.46554648876190186, -0.04580878093838692], [0.5568097829818726, 0.4126569628715515, -0.09017638117074966], [0.5859538912773132, 0.4486348330974579, -0.09691936522722244], [0.4393531382083893, 0.5198866724967957, -0.040045950561761856], [0.4331240653991699, 0.5504534244537354, -0.04539373517036438]]"
73,"[[0.480936735868454, 0.46314194798469543, -0.04423919692635536], [0.5564630031585693, 0.4150983989238739, -0.0877946987748146], [0.5837319493293762, 0.45017653703689575, -0.09461790323257446], [0.4397422969341278, 0.5217756032943726, -0.03915749862790108], [0.43327707052230835, 0.5524313449859619, -0.044726110994815826]]"
74,"[[0.48152145743370056, 0.45958665013313293, -0.04955422505736351], [0.5551354885101318, 0.4110172688961029, -0.09177441895008087], [0.5832844376564026, 0.44753456115722656, -0.09841609001159668], [0.43869370222091675, 0.5201402306556702, -0.04184933751821518], [0.43253764510154724, 0.549900472164154, -0.04736528918147087]]"
75,"[[0.48038989305496216, 0.45080894231796265, -0.042964644730091095], [0.5532127618789673, 0.4037761092185974, -0.08107443898916245], [0.5729780197143555, 0.4433756470680237, -0.0999174416065216], [0.46031150221824646, 0.5490028262138367, -0.05426826328039169], [0.45206326246261597, 0.5728721022605896, -0.06665056198835373]]"
76,"[[0.5457950830459595, 0.4803619980812073, -0.05840795487165451], [0.5619822144508362, 0.3698540925979614, -0.055441249161958694], [0.4570150375366211, 0.4878159761428833, -0.06258574873209], [0.434848815202713, 0.5028978586196899, -0.06520849466323853], [0.4186043441295624, 0.5110390782356262, -0.08035209774971008]]"
77,"[[0.5514511466026306, 0.4695011377334595, -0.05428532883524895], [0.563991367816925, 0.37837135791778564, -0.05668335407972336], [0.4561997652053833, 0.4744393825531006, -0.05987277254462242], [0.43826693296432495, 0.49604225158691406, -0.06053093448281288], [0.42475268244743347, 0.5128848552703857, -0.07766637951135635]]"
78,"[[0.547762930393219, 0.4637111723423004, -0.05205242708325386], [0.559952974319458, 0.38075771927833557, -0.05604690685868263], [0.4529678523540497, 0.4775002896785736, -0.05722125619649887], [0.43533656001091003, 0.4965229332447052, -0.05855049937963486], [0.4221563935279846, 0.5154597759246826, -0.07542164623737335]]"
79,"[[0.5447169542312622, 0.46148672699928284, -0.05137750506401062], [0.5566002726554871, 0.38029515743255615, -0.055957481265068054], [0.4493192136287689, 0.4753952622413635, -0.055679671466350555], [0.4321940243244171, 0.4972299337387085, -0.05751566216349602], [0.4206049144268036, 0.5167086720466614, -0.07550563663244247]]"
80,"[[0.5455164313316345, 0.4631045162677765, -0.05026472359895706], [0.5577504634857178, 0.38320398330688477, -0.052631061524152756], [0.4494299292564392, 0.48229706287384033, -0.05455690622329712], [0.43306171894073486, 0.5033678412437439, -0.05794720724225044], [0.421710729598999, 0.5238668322563171, -0.07570943981409073]]"
81,"[[0.5411966443061829, 0.45339012145996094, -0.051634531468153], [0.5586076974868774, 0.38241180777549744, -0.054027970880270004], [0.44628986716270447, 0.4772493243217468, -0.0542977899312973], [0.43221357464790344, 0.5021256804466248, -0.05760633945465088], [0.42129963636398315, 0.5249569416046143, -0.07673892378807068]]"
82,"[[0.4918772876262665, 0.42996615171432495, -0.030809907242655754], [0.5422194004058838, 0.33453962206840515, -0.0781591609120369], [0.5190736651420593, 0.5111706256866455, -0.07967836409807205], [0.47340068221092224, 0.5524747371673584, -0.06891826540231705], [0.4612211585044861, 0.5793267488479614, -0.09114735573530197]]"
83,"[[0.47949427366256714, 0.4411526322364807, -0.02222415618598461], [0.5365731120109558, 0.317518413066864, -0.05882541835308075], [0.5884274840354919, 0.46600568294525146, -0.07808909565210342], [0.43484851717948914, 0.5305065512657166, -0.03558069095015526], [0.4184827208518982, 0.5585106015205383, -0.04671422019600868]]"
84,"[[0.5044587254524231, 0.465660035610199, -0.047440867871046066], [0.5612975358963013, 0.3648870289325714, -0.08998695760965347], [0.5938241481781006, 0.5126412510871887, -0.09408146888017654], [0.4386045038700104, 0.5417934060096741, -0.049920666962862015], [0.42194172739982605, 0.5746719241142273, -0.052342772483825684]]"
