frame,vector
32,"[[0.28246086835861206, 0.6270854473114014, -0.06637085229158401], [0.30299243330955505, 0.4986962080001831, -0.05026506260037422], [0.2783333957195282, 0.47179901599884033, -0.0510995127260685], [0.24989931285381317, 0.48469316959381104, -0.0584627166390419], [0.2183869332075119, 0.5251427888870239, -0.05843869224190712]]"
33,"[[0.28246086835861206, 0.6270854473114014, -0.06637085229158401], [0.30299243330955505, 0.4986962080001831, -0.05026506260037422], [0.2783333957195282, 0.47179901599884033, -0.0510995127260685], [0.24989931285381317, 0.48469316959381104, -0.0584627166390419], [0.2183869332075119, 0.5251427888870239, -0.05843869224190712]]"
34,"[[0.28246086835861206, 0.6270854473114014, -0.06637085229158401], [0.30299243330955505, 0.4986962080001831, -0.05026506260037422], [0.2783333957195282, 0.47179901599884033, -0.0510995127260685], [0.24989931285381317, 0.48469316959381104, -0.0584627166390419], [0.2183869332075119, 0.5251427888870239, -0.05843869224190712]]"
35,"[[0.2818309962749481, 0.6272305250167847, -0.0647047832608223], [0.3026929497718811, 0.49755874276161194, -0.04981987923383713], [0.27864161133766174, 0.47110211849212646, -0.050617676228284836], [0.2501039206981659, 0.4852660298347473, -0.057922303676605225], [0.21823453903198242, 0.5253918170928955, -0.058258745819330215]]"
36,"[[0.2818309962749481, 0.6272305250167847, -0.0647047832608223], [0.3026929497718811, 0.49755874276161194, -0.04981987923383713], [0.27864161133766174, 0.47110211849212646, -0.050617676228284836], [0.2501039206981659, 0.4852660298347473, -0.057922303676605225], [0.21823453903198242, 0.5253918170928955, -0.058258745819330215]]"
37,"[[0.2818309962749481, 0.6272305250167847, -0.0647047832608223], [0.3026929497718811, 0.49755874276161194, -0.04981987923383713], [0.27864161133766174, 0.47110211849212646, -0.050617676228284836], [0.2501039206981659, 0.4852660298347473, -0.057922303676605225], [0.21823453903198242, 0.5253918170928955, -0.058258745819330215]]"
38,"[[0.2818309962749481, 0.6272305250167847, -0.0647047832608223], [0.3026929497718811, 0.49755874276161194, -0.04981987923383713], [0.27864161133766174, 0.47110211849212646, -0.050617676228284836], [0.2501039206981659, 0.4852660298347473, -0.057922303676605225], [0.21823453903198242, 0.5253918170928955, -0.058258745819330215]]"
39,"[[0.2818309962749481, 0.6272305250167847, -0.0647047832608223], [0.3026929497718811, 0.49755874276161194, -0.04981987923383713], [0.27864161133766174, 0.47110211849212646, -0.050617676228284836], [0.2501039206981659, 0.4852660298347473, -0.057922303676605225], [0.21823453903198242, 0.5253918170928955, -0.058258745819330215]]"
40,"[[0.2818309962749481, 0.6272305250167847, -0.0647047832608223], [0.3026929497718811, 0.49755874276161194, -0.04981987923383713], [0.27864161133766174, 0.47110211849212646, -0.050617676228284836], [0.2501039206981659, 0.4852660298347473, -0.057922303676605225], [0.21823453903198242, 0.5253918170928955, -0.058258745819330215]]"
41,"[[0.2818309962749481, 0.6272305250167847, -0.0647047832608223], [0.3026929497718811, 0.49755874276161194, -0.04981987923383713], [0.27864161133766174, 0.47110211849212646, -0.050617676228284836], [0.2501039206981659, 0.4852660298347473, -0.057922303676605225], [0.21823453903198242, 0.5253918170928955, -0.058258745819330215]]"
